raw_character_text,spoken_words
Kent Brockman,"Brockman, just outside the county courtroom where an argument about chowder has spilled over into the biggest trial in Springfield history. Behind these doors, a Federal judge will ladle out steaming bowls of rich, creamy justice in a case the media have dubbed... ""Beat Up Waiter."" This reporter suggested ""Waiter Gate"" but was shouted down at the press club. Now it's illegal to televise court proceedings in this state, so we'll have to be quiet."
,
Seymour Skinner,"I know you can read my thoughts, Bart. Just a little reminder: if I find out you cut class, your ass is mine. Yes, you heard me. I think words I would never say."
Homer Simpson,"I know you can read my thoughts, boy. Meow, meow, meow, meow, meow, meow, meow, meow/ meow, meow, meow, meow, meow, meow, meow, meow."
Quimby's Lawyer,"I intend to prove that Freddy Quimby is totally innocent. First of all, his accuser is a very shady character. That waiter, Mr. LaCoste not only wasn't born in Springfield. He wasn't even born in this country!"
Moe Szyslak,"Uh, Freddy Quimby was with me the entire night in question. We were collecting canned goods for the starving people in, ah... you know, one of them loser countries."
Audience,He's clearly innocent.
Moe Szyslak,"Oh, good. My laundry is done."
Bart Simpson,"Ya see, Lisa? They don't need my testimony."
Lisa Simpson,Only because Mayor Quimby's buying his nephew's freedom.
Bart Simpson,The system works. Just ask Claus Von Bulow.
Lionel Hutz,"Ladies and gentlemen, I'm going to prove to you not only that Freddy Quimby is guilty, but that he is also innocent of not being guilty. I refer you to my expert witness, Doctor Hibbert."
Dr. Julius Hibbert,"Well, only one in two million people has what we call the ""evil gene."" Hitler had it. Walt Disney had it. And Freddy Quimby has it."
Lionel Hutz,"Thank you, Doctor Hibbert. I rest my case."
Judge Snyder,You rest your case?
Lionel Hutz,"What? Oh, no. I thought that was just a figure of speech. Case closed."
Apu Nahasapeemapetilon,"Excuse me, your honor. Yes, I'd like to bring something to the court's attention."
Homer Simpson,
Homer Simpson,Huh?
Judge Snyder,Give those glasses to the bailiff.
Homer Simpson,All right.
Judge Snyder,And those.
Quimby's Lawyer,"Your honor, even though I've proven my client's innocence, I'd still like to call Freddy Quimby to the stand so that we can all bask in his gentle decency."
Audience,"""He's wealthy, therefore inherently good."" ""He's definitely innocent."""
Quimby's Lawyer,"Mr. Quimby, did you assault Mr. LaCoste?"
Freddy,Of course not. I love each and every uh living thing on God's green earth.
Quimby's Lawyer,"Therefore, you certainly would never lose your temper over something as trivial as the pronunciation of ""chowder."""
Freddy,That's chowda. Chowda! I'll kill you. I'll kill all of you - especially those of you in the jury.
Quimby's Lawyer,"Wow, that didn't go well. The defense rests."
Judge Snyder,Will the jury retire and come to its decision?
Homer Simpson,"Okay, fine."
Helen Lovejoy,This won't take long. He's clearly guilty. We'll probably be home by dinnertime.
Jasper Beardly,"Good. I heard the dog from ""Frasier"" is gonna ride the dolphin on ""Seaquest."""
Lisa Simpson,"Well Bart, because of you, a horrible, yet innocent person is going to jail."
Bart Simpson,Maybe I should come forward.
Seymour Skinner,I can't wait 'til the sentencing part. That's where I really shine.
Seymour Skinner,"Bart Simpson, for the heinous crime of hooky, I sentence you to a lifetime of hard labor in the cafeteria."
Lunchlady Bart,"More creamed corn, Jimbo Junior?"
JIMBO JR.,This creamed corn tastes like creamed crap.
Lunchlady Bart,"Watch the potty mouth, honey."
Judge Snyder,Your sister says you have something to tell me.
Bart Simpson,"What? Uh, um, yeah. Uh, I just want to say how great it is to finally see some chicks on the bench."
Judge Snyder,Hm.
Bart Simpson,"Keep up the good work, toots."
Lisa Simpson,Chicks on the bench...
,
Jasper Beardly,Why bother votin'? He's guilty.
Ned Flanders,We might as well make it official.
Homer Simpson,What does sequestered mean?
Seymour Skinner,"If the jury is deadlocked, they're put up in a hotel together so they can't communicate with the outside world."
Homer Simpson,What does deadlocked mean?
Seymour Skinner,It's when the jury can't agree on a verdict.
Homer Simpson,"Uh-huh. And ""if""?"
Seymour Skinner,"A conjunction meaning ""in the event that"" or ""on condition that."""
Homer Simpson,"So ""if"" we don't all vote the same way, we'll be ""deadlocked"" and have to be ""sequestered"" in the Springfield Palace Hotel."
Patty Bouvier,"That's not gonna happen, Homer."
Jasper Beardly,Let's vote. My liver is failing.
Homer Simpson,"Where we'll get... a free room, free food, free swimming pool, free HBO - Oooh, ""Free Willy!"""
Seymour Skinner,"Justice is not a frivolous thing, Simpson. It has little, if anything, to do with a disobedient whale. Now let's vote."
Homer Simpson,"Uh, how are the rest of you voting?"
Homer Simpson,I'm only doing what I think is right. I believe Freddie Quimby should walk out of here a free hotel.
,
,
Homer Simpson,"Oh, I miss you too, Marge. But the law needs me. I'll be home as soon as I can."
Homer Simpson,Room service? Send up two more pot roasts and three more pillows with mints on 'em.
Seymour Skinner,"You know, we're kind of like the original ""Odd Couple."" You're the messy one and I'm..."
Homer Simpson,Shut up.
Seymour Skinner,"Oh yes, very well."
,
Lisa Simpson,"So Bart, have your insides been gnawed away by guilt, yet?"
Bart Simpson,"Sell it to Hallmark, sis. You're lookin' at cucumber boy. As in ""cool as a."""
Announcer,Next on McGarnigal - McGarnigal is framed for a crime he didn't commit. And only one witness can clear his name - a little sissy boy who's too scared to come forward.
MCGARNIGAL,"You gotta tell 'em what you saw, Billy."
Billy,"But I'm so scared, McGarnigal."
MCGARNIGAL,"You gotta do this one for me, Billy. McGarnigal."
Billy,Okay. For you. McGarnigal.
Chief Wiggum,"Well, McGarnigal, Billy is dead. They slit his throat from ear to ear."
MCGARNIGAL,"Hey, I'm tryin' to eat lunch here!"
,
Homer Simpson,"Jump, Free Willy, jump! Jump with all your might!"
Mother,"Oh, no. Willie didn't make it. And he crushed our boy."
Man,"Ew, What a mess."
Homer Simpson,I don't like this new director's cut.
,
Homer Simpson,"Got it, Barn?"
Barney Gumble,Got what?
Barney Gumble,Ow!
Seymour Skinner,You're stealing a table?
Homer Simpson,I'm not stealing it. Hotels expect you to take a few things. It's a souvenir.
Seymour Skinner,Ah. Is that my necktie you're wearing?
Homer Simpson,Souvenir.
,
Bart Simpson,"Mom, what if there's a really bad, crummy guy who's going to jail, but I know he's innocent?"
Marge Simpson,"Well, Bart, your Uncle Arthur used to have a saying, ""Shoot 'em all and let God sort 'em out."" Unfortunately, one day he put his theory into practice. It took seventy-five Federal marshals to bring him down. Now, let's never speak of him again."
Bart Simpson,"Mom, Mom, Mom!"
Marge Simpson,Hmm?
Bart Simpson,What if I can get this guy off the hook. Sh-should I do it?
Marge Simpson,"Honey, you should listen to your heart, and not the voices in your head, like a certain uncle did one grey December morn."
,
Judge Snyder,"Even though reopening a trial at this point is illegal and grossly unconstitutional, I just can't say no to kids."
Quimby's Lawyer,"So, young man. If Freddy Quimby didn't inflict these injuries on Mr. LaCoste, just who did?"
Bart Simpson,"Well, I was hiding in the kitchen when it all happened..."
Freddy,"Say it, Frenchie! Say chowder!"
French Waiter,Ne-verr!
Freddy,"Okay, you asked for it. I'm gonna enjoy this."
Bart Simpson,And that's what really happened.
French Waiter,I keel you! I am not a clumsy Clouseau-esque waiter. I will...
French Waiter,At least there were no big traps.
French Waiter,
Lionel Hutz,"How could you have seen all this, Bart? Weren't you supposed to be in school?"
Bart Simpson,I sorta skipped school.
Seymour Skinner,"I knew it! I knew you'd slip up sooner or later, Simpson."
Apu Nahasapeemapetilon,What slip up? What are you talking about? He confessed it.
Seymour Skinner,Quiet. I need this.
Judge Snyder,This court finds Freddy Quimby innocent of all charges. Case dismissed.
,
Seymour Skinner,"Bart, I'm impressed with what you did in there. You testified for the Quimby boy even though it was putting your own head in a noose. On the other hand, you skipped school."
Bart Simpson,"I guess the two things cancel each other out, huh?"
Seymour Skinner,"I'm a small man in some ways, Bart. A small, petty man. Three months detention."
Seymour Skinner,"Wait a minute, Bart."
Seymour Skinner,Make that four months detention.
,
Homer Simpson,"Well, Marge, it was horrible. Everyone was against me in that jury room. But I stood by the courage of my convictions and I prevailed. And that's why we had Chinese food for lunch."
Marge Simpson,"Good for you, Homie. You know, a lot of things happened around here while you were gone."
Homer Simpson,"Great, Marge. I wanna hear all about it."
Marge Simpson,Give me those...
Homer Simpson,
Marge Simpson,And those.
Homer Simpson,
Marge Simpson,And those!
Homer Simpson,
Krusty the Clown,
Sideshow Mel,"Please, Krusty, this is very demeaning."
Krusty the Clown,Shuddup and conduct!
Monkeys,
,
Lisa Simpson,
Homer Simpson,"Maggie, can you point to the monkey?"
Homer Simpson,Pfft. What do babies know?
Lisa Simpson,"Maggie, can you point to the credenza?"
Homer Simpson,
Marge Simpson,"Homer, you didn't do a very good job frosting Maggie's birthday cake."
Homer Simpson,What? It's not Magaggie's birthday? Oh.
Marge Simpson,"Hey, hey, hey hey, stop it! I made a special cake for you to ruin. It's over there."
Homer Simpson,Ooh.
Patty Bouvier,"Hello, everyone except Homer."
Jacqueline Bouvier,"Happy birthday, granddaughter!"
Patty Bouvier,"Marge, I think that's your father-in-law across the street."
Grampa Simpson,Hap-py Birthday!
Marge Simpson,Everybody get ready! Here comes the birthday girl in her very first dress!
Everyone,Aww!
Patty Bouvier,She's a little angel!
Selma Bouvier,Yeah. I wanna put a hook in her and hang her from our Christmas tree.
Grampa Simpson,Whaaaat smells?!
Marge Simpson,Uh-oh.
Bart Simpson,Shouldn't we wait for the other babies before we open the presents?
C. Montgomery Burns,Guess what happened to me last night!
Lisa Simpson,We didn't invite the other babies. Maggie doesn't seem to get along with the other babies.
Marge Simpson,"Maggie, we have a surprise for you."
Maggie Simpson,
Grampa Simpson,Oo! Put some Lister's Carbolic Unguent on a wad of cotton. Put the cotton in her ear. That'll stop them shakes.
Jacqueline Bouvier,"No, no. What she needs is a Balsam Specific."
Grampa Simpson,"Balsam Specific? While we're burning money, why don't we give her a Curative Galvanic Belt, too?"
Bart Simpson,Don't forget to give her Smeckler's Powder!
Jacqueline Bouvier,Don't make fun.
Jacqueline Bouvier,I remember Lisa's third birthday. She and Bart did this adorable little song and dance routine.
Grampa Simpson,"Oh, that was a real horn-honker! Let's see it!"
Bart Simpson,
Grampa Simpson,Now! Do it!
Lisa Simpson,
Grampa Simpson,Do it!
Lisa Simpson,HOT DOGS / ARMOUR HOT DOGS...
Grampa Simpson,Sing it like you mean it!
Lisa Simpson,WHAT KINDS OF KIDS EAT ARMOUR HOT DOGS?
Bart Simpson,FAT KIDS...
Lisa Simpson,SKINNY KIDS...
Bart Simpson,KIDS WHO CLIMB ON ROCKS...
Lisa Simpson,TOUGH KIDS...
Bart Simpson,SISSY KIDS...
Milhouse Van Houten,EVEN KIDS WITH CHICKEN POX!
Everyone,LOVE HOT DOGS / ARRR-MOUR HOT DOGS THE DOGS KIDS LOVE TO BITE!
Lisa Simpson,Doesn't this family know any songs that aren't commercials?
Everyone,I FEEL LIKE CHICKEN TONIGHT! / LIKE CHICKEN TONIGHT! / LIKE CHICKEN TONIGHT!
Jacqueline Bouvier,It's been great spending time with my family again. I guess the next time I see you won't be until Thanksgiving.
Homer Simpson,"Or, if not then, Christmas."
Grampa Simpson,"I suppose I'll be gettin' home, too. At least I got Matlock to keep me company. Ooh! He's on in five minutes!"
Jacqueline Bouvier,He is?! Step on it!
Old Jewish Man,Hurry up! Hurry! Each Matlock could be our last!
Marge Simpson,"Homey, you know, it's funny -- both my mother and your father seem pretty lonely."
Homer Simpson,"Hee, hee, hee, hee. That is funny."
Marge Simpson,"Yeah. Anyway, maybe they could go to a matinee together, or shopping, or to that room in the library that's always full of old people. ""Periodicals,"" that's it."
Homer Simpson,"Marge, please. Old people don't need companionship. They need to be isolated and studied, so it can be determined what nutrients they have that might be extracted for our personal use."
Marge Simpson,"Homer, would you please stop reading that Ross Perot pamphlet?!"
Homer Simpson,Oh.
,
Marge Simpson,"Say! I've got a neat idea. Why don't you go in and pick up my mother, and we'll all go out to dinner."
Grampa Simpson,I'll be back in a jiffy.
Marge Simpson,That's not my mother.
Grampa Simpson,I'll be back in a jiffy.
Old Woman,"Can I come, too?"
Old Woman,
,
Marge Simpson,"You know, Mom, you and Abe have a lot in common. Umm, you both got swindled by that telemarketing scam."
Grampa Simpson,"Oh, it's not a swindle. What you do is, see, you give 'em all your credit card numbers, and if one of them is lucky, they'll send you a prize!"
Jacqueline Bouvier,I was just happy to talk to someone on the phone.
Grampa Simpson,"Aw, feelin' blue, eh? I got somethin' that'll cheer you up."
Lawyer,"Sir, I represent the estate of Charles Chaplin. I have a court order demanding an immediate halt to this unauthorized imitation. Boys?"
,
Jacqueline Bouvier,And here's a picture of me getting arrested for indecent exposure. It was the most embarrassing day of my life.
Grampa Simpson,Lamp those gams! You were one nifty number!
Jacqueline Bouvier,Boys all paid attention to me and it drove my friends crazy.
Grampa Simpson,Oh? Who were your friends?
Jacqueline Bouvier,"Oh, Zelda Fitzgerald... Frances Farmer... and little Sylvia Plath..."
Waylon Smithers,"I don't know, Sir. You had sex with that old woman?"
Grampa Simpson,"Y'know, you remind me of a poem I can't remember... and a song that may never have existed... and a place I'm not sure I've ever been to."
Jacqueline Bouvier,You're so sweet.
Grampa's Brain,"I feel all funny! I'm in love! No, wait, it's a stroke!"
,
Grampa Simpson,"No, wait. It is love!"
Grampa Simpson,I'm in looove!
,
Troy McClure,"Hello, I'm Troy McClure. You might remember me from such films as ""The Boatjacking of Super-Ship '79"" and ""Hydro: The Man with the Hydraulic Arms."" Coming up this hour on the Impulse Buying Network -- your chance to own a piece of Itchy and Scratchy, the Toontown twosome beloved by everyone, even cynical members of Generation X!"
,
Generation X Guy,"Yeah, ""groovy."""
"Roger Meyers, Jr.","Troy, I'm proud to offer your viewers these hand-drawn Itchy and Scratchy animation cels. Each one is absolutely, positively one hundred percent guaranteed to increase in value!"
Announcer,Not a guarantee.
Bart Simpson,Ooh.
,
Bart Simpson,"Pardon me, sir. Forgive my clumsiness."
Homer Simpson,Not at all.
Bart Simpson,"Ah, yes, my name is Homer Simpson, and I'd like to order an Itchy an Scratchy cel. My credit card? Ah, do you accept the Federal Breast Inspector's card? License to Ogle? Viza?... Oh yes, of course, that's what I meant, Visa. It's these new dentures."
Marge Simpson,"Well, I think it's wonderful that your father has fallen in love with my mother."
Homer Simpson,"Well, I'm opposed to the whole thing! Damn opposed!"
Bart Simpson,He's damn opposed! Damn! Damn! Damn opposed!
Marge Simpson,"Bart! Homer, what possible reason could you have against Grampa being in love?"
Homer Simpson,"If he marries your mother, Marge, we'll be brother and sister! And then our kids, they'll be horrible freaks with pink skin, no overbites, and five fingers on each hand!"
Marge Simpson,"Hello, Mom? Fine. You know, Abe had a very nice time with you last Sunday..."
Grampa Simpson,Tell her I love her!!!
Marge Simpson,"Grampa, sssh! I know my mother. If you come on too strong, she's going to get scared away."
Grampa Simpson,I love ya!
Jacqueline Bouvier,What?
Marge Simpson,"Uh... I love ya, Mom!"
Marge Simpson,I love ya! I love ya! I love ya!
Marge Simpson,"I love ya! I love ya! I love ya! I love ya, Mom! Gotta go!"
Man,"Yeah, hi! I got a special delivery for Homer Simpson."
Bart Simpson,That's me.
Man,Don't write no more letters to Mr. Sinatra.
Teenager,I've got a special delivery for Homer Simpson.
Bart Simpson,Um... that's me.
Teenager,Stop stealing golf balls from the driving range!
Wiseguy,"Homer Simpson? I've got a uh, ""special delivery"" for ya."
Bart Simpson,Go away!
Wiseguy,"If you do not open the door, Mr. Simpson, I cannot give you your ""special delivery."""
Delivery Man,Here's your special delivery.
Bart Simpson,Thanks.
Delivery Man,That's for keepin' me waitin'!
Bart Simpson,"Hey, Lis, guess who's got a genuine Itchy and Scratchy animation cel?!"
,
Lisa Simpson,It looks like part of Scratchy's arm.
Bart Simpson,"Oh, no. I used Dad's credit card to buy this?"
Lisa Simpson,Yeesh. How much was it?
Bart Simpson,Three hundred fifty dollars.
Lisa Simpson,Oooh.
Nelson Apparition,Haw haw!
,
Apu Nahasapeemapetilon,Oh my God! This boy is having an out-of-body experience! This is very bad for business!
,
Grampa Simpson,Hot diggity! I'm gonna smooch her like a mule eatin' an apple! I even bought me some special novelty dentures.
Homer Simpson,"Dad, that will never work. If you want to make your move, you've gotta play it... cool."
Homer Simpson,"NOW, WHAT YOU GOTTA DO / IF YOU WANT TO GET A KISS / IS ACT REAL SMOOTH / AND MAKE YOUR MOVE LIKE THIS."
Grampa Simpson,"Oh, I see. SO IF I TAKE YOUR ADVICE / AND MAKE YOUR PATENTED MOVE / THEN MY CHANCES FOR LOVE / WILL SLIGHTLY IMPROVE?"
Homer Simpson,NOW WHAT'S THAT RULE?
Grampa Simpson,PLAY IT COOOOL.
Grampa Simpson,
,
,
Bart Simpson,Is this cel worth anything?
Comic Book Guy,Let me show you something.
Comic Book Guy,"This, this is a Snagglepuss drawn by Hig Heisler. It is worth something. This, this is an arm drawn by nobody. It is worth nothing."
Bart Simpson,Can't you give me anything for it?
Comic Book Guy,I can give you this telephone. It is shaped like Mary Worth.
Comic Book Guy,No groaning in my store.
,
,
Jacqueline Bouvier,"Oh, my favorite song. This is so nice."
Grampa Simpson,I can't remember when I felt this young. I really can't.
C. Montgomery Burns,"Say, sport, mind if I have the next dance?"
Grampa Simpson,Don't sneak up on a...
C. Montgomery Burns,"No need for the blown gasket, Charlie! I'll have her back in one piece."
Grampa Simpson,"Grrr. That big ape thinks he can muscle in on my girl, does he? I'll show him. I'm gonna give him the frowning of a lifetime."
Jacqueline Bouvier,"I swear, Monty, you are the devil himself."
C. Montgomery Burns,"Who told y-- ?! Yesss. Well, I'd say you were an angel, but angels don't dance like that."
Grampa Simpson,"Goodnight, Mrs. Bouvier... Wherever you are."
Lawyer,"Mr. Simpson, I represent the estate of Jimmy Durante. I have a court order demanding an immediate halt to this unauthorized imitation. Boys?"
Lawyer,Well would it be alright with you if I just laid down in the street and died?
Lawyer,Yes. That would be acceptable.
,
C. Montgomery Burns,Smithers...
C. Montgomery Burns,"She said ""no"" to me. Do you know how many women have said ""no"" to me? One hundred thirty. But only one since I've become a billionaire. And she's the one for me. I'm in love!"
Waylon Smithers,"Whoop-de-doo, Sir."
C. Montgomery Burns,"Yes, whoop-de-doo! Whoop-de-doo to the world!"
C. Montgomery Burns,"Whooop de-doo, Mr. Florist! Whoop de-doo, Mr. Physical Trainer! Whoop-de-doo, Mr. President!"
Bill Clinton,I'm happy you finally found love.
C. Montgomery Burns,"Whoop-de-doo, Tarantula Town!"
C. Montgomery Burns,"Whoop-de-doo, employees! Everyone who's found true love may leave early today!"
Homer Simpson,All right!
C. Montgomery Burns,"""Memorandum to: Mrs. Bouvier. Re: Delineation of Romantic Intentions..."" Pfffft, too sappy. Smithers, come over here and help me write a mash note to my girlfriend!"
Waylon Smithers,"Fine. ""Darling One, Read my words and hear my heart speak of a love soft and undying. A love that will be with you always. Sincerely, yadda yadda yadda."""
C. Montgomery Burns,That's marvelous. How did you think of that so fast?
Waylon Smithers,"I sent it to you on your birthday. Excuse me, I have something in my eye."
,
Marge Simpson,Mom's almost ready for her date. She sure seems taken by this new beau. I feel so bad for Grampa.
Homer Simpson,"Dad says this new guy is a repulsive, obnoxious old billionaire, so let's all be extra-nice to him."
Marge Simpson,
C. Montgomery Burns,Hello! Why it's... it's uh... oh it's...
C. Montgomery Burns,"Why it's Fred Flintstone and his lovely wife, Wilma! Oh, and this must be little Pebbles! Mind if I come in? I brought chocolates."
Homer Simpson,Yabba-dabba-doo!
Marge Simpson,"He's an awful, awful, awful man, but I guess if he makes Mom happy, that's all that really matters."
Homer Simpson,"That's right, money. Your money's happiness is all that moneys."
Bart Simpson,"Hi. You know, Gramma really likes it when her boyfriends are nice to me. She especially likes it when they give me money."
,
C. Montgomery Burns,"Run along, Pee-Wee. Baby gets nothing."
Bart Simpson,"Very well, you leave me no choice."
Bart Simpson,This gun is filled with ketchup. This one with mustard. Now give me three hundred fifty bucks or you're gonna be a mess for your date.
C. Montgomery Burns,You don't have the guts.
C. Montgomery Burns,"Aaagh! Here, take your money! Take it!"
C. Montgomery Burns,"Now, the tables have turned, haven't they?"
Jacqueline Bouvier,"Monty, I'm ready."
,
Grampa Simpson,"Oh, why'd she have to leave me?"
Jasper Beardly,"Hi, Abe. We heard you was in need of some cheerin' up, so we got you a special cake."
Voice Inside Cake,
Jasper Beardly,Uh-oh. Better call the nurse.
,
C. Montgomery Burns,"Bravissimo, Luigi. Bring us your finest bottle of vino."
Luigi,"Ay, you trust-a-Luigi, ah? He knows-a what for to make-a real nice the amor̩."
Jacqueline Bouvier,"Oh, Monty, I've never been to a more romantic restaurant."
Luigi,"Ay, Salvatore! Break out the cheap-a-hooch for Mr. No-Tip and the dried up-a zombie he's-a captured!"
,
Bart Simpson,"Dad, I'm really sorry, but I charged three hundred fifty dollars on your credit card."
Homer Simpson,What?!
Bart Simpson,"Don't worry, here's the cash."
Homer Simpson,"Woo hoo! Three hundred fifty dollars!! Now I can buy seventy transcripts of ""Nightline""!"
Bart Simpson,But Dad...
Homer Simpson,Woo hoo!
Bart Simpson,"Oh well, he's happy. I'm gonna keep this Mary Worth phone right here. Her stern but sensible face will remind me never to do anything so stupid again."
Milhouse Van Houten,"Hey, Bart. You wanna go play with that x-ray machine in the abandoned hospital?"
Bart Simpson,Sure!
,
C. Montgomery Burns,"Now, my dear, if you look in your champagne, I think you'll find a little surprise..."
Jacqueline Bouvier,Huh?
C. Montgomery Burns,"Not to worry. I believe there's another one around here, somewhere."
C. Montgomery Burns,"My darling, since my kneecaps are filling with fluid as we speak, I'll be brief. Will you marry me?"
,
Marge Simpson,"Mom, you can't marry Mr. Burns! He's an evil man!"
Jacqueline Bouvier,"Evil-schmevil, Marge. Monty can provide for me, and besides, he's a great kisser."
Homer Simpson,Ew yuuuuck!
Marge Simpson,What about Abe Simpson? Don't you have any feelings for him?
Jacqueline Bouvier,"Ah, he's a dear, but he's too much of an old fusspot."
Marge Simpson,"We're all aware of Grampa's problems, but compared to Mr. Burns, he's Judge freaking Reinhold!"
Jacqueline Bouvier,I don't know who that is.
,
Grampa Simpson,"Aw, who needs her? Now I'll have more time to read things I find on the ground. ""Lay-tex Con-do..."" Boy, I'd like to live in one of those."
Grampa Simpson,
,
Homer Simpson,"Hey, Barney, why don't you fill out the groom's side."
Barney Gumble,"Hey, down in front."
Kaiser Wilhelm Guy,Nein!
Lisa Simpson,Where's Grampa? Wasn't he invited?
Bart Simpson,"Yeah, but his reply envelope just had a check to the Gas Company in it."
Rev. Timothy Lovejoy,"...and so, when Eliphaz came down from Mt. Hebron bearing figs, he offered them to Moham, who you will remember as the father of Shecham, and to Hazar on the occasion of their matrimony. Much in the same--"
C. Montgomery Burns,We've heard enough about Blizblaz and Himham already! Get to the bloody point!
Marge Simpson,Hm? Hm?
Rev. Timothy Lovejoy,"Do you, Charles Montgomery Burns, take this woman to be your lawfully wedded wife?"
C. Montgomery Burns,I do.
C. Montgomery Burns,"The ring, you little imbecile! Before I really lose my temper!"
Jacqueline Bouvier,"I know, I know."
Rev. Timothy Lovejoy,"Do you, Jacqueline Bouvier, take this man to be your lawfully wedded husband?"
Jacqueline Bouvier,"Oh, Monty! My favorite song. How did--"
C. Montgomery Burns,I specifically requested no romantic music!
Grampa Simpson,Mrs. Bouvier! Mrs. Bouvier!
Grampa Simpson,Mrs. Bouvier!
Grampa Simpson,"Honey, are ya sure ya wanna be Mrs. Montgomery Burns? Wouldn't ya rather be Mrs. Abraham J. Simpson?"
Jacqueline Bouvier,No!
Grampa Simpson,
Jacqueline Bouvier,I don't want to be either.
Grampa Simpson,Hot ziggity zam! That's good enough for me!
,
Grampa Simpson,Turn off that racket!
Otto Mann,"Yeah, fat chance, pops."
Singers,HELLO GRAMPA MY OLD FRIEND / YOUR BUSY DAY IS AT AN END / YOUR EXPLOITS HAVE BEEN SAD AND BORING / THEY TELL A TALE THAT'S WORTH IGNOR-ING / WHEN YOU'RE ALONE / THE WORDS OF YOUR STORY WILL ECHO DOWN THE RESTROOM HALL / 'CAUSE NO ONE AT ALL / CAN STAND THE SOUND OF GRAM-PAAA....
Grampa Simpson,"I first took a fancy to Mrs. Bouvier because her raspy voice reminded me of my old Victrola. Oh, it was a fine machine. When the vulcanized rubber listening tube was just crammed in your ear. The tube would go in easier with some sort of lubricant like Linseed oil or Dr. Some..."
Grampa Simpson,I'm sorry.
,
Moe Szyslak,"All right, I raise a quarter."
Carl Carlson,I'm out.
Lenny Leonard,I'm out.
Barney Gumble,I'm out.
Moe Szyslak,"Homer, do you want any cards? Homer?"
Homer Simpson,"Whew. Don't try to eat these so-called ""chips."""
Lenny Leonard,Do you want another card or not?
Homer Simpson,Huh? Oh. Okay. I'll take three.
Homer Simpson,"I mean, woo hoo!"
Moe Szyslak,I'm in. Let's see your cards.
Homer Simpson,I was bluffing.
Moe Szyslak,"Come to papa... Wait a minute! You have a straight flush, Homer. Go! You do this every time. You... oh, you, ah, ... I'm choking on my own rage here."
Carl Carlson,"Hey, don't yell at Homer. Just because he's a little slow..."
Homer Simpson,How dare you call me that?!
Lenny Leonard,"Hey, Homer, you still here? Boy, you are slow."
Lenny Leonard,Get the hell outta here.
,
Homer Simpson,"So, anyhoo, last night, we're playing poker, right. As usual, I'm winning and not realizing it. And Lenny says that I'm uh... get this... ""A little slow."""
Homer Simpson,How come you're not laughing? Do you think I'm slow?
Bart Simpson,Buh.
Lisa Simpson,Sneh.
Maggie Simpson,
Marge Simpson,"We don't think you're slow. But, on the other hand, it's not like you go to museums or read books or anything."
Homer Simpson,"You think I don't want to? It's those TV networks, Marge. They won't let me. One quality show after another. Each one fresher and more brilliant than the last. If they only stumbled once -- just gave us thirty minutes to ourselves. But they won't, they won't let me live!"
,
Homer Simpson,"Oh, who am I kidding? I am slow..."
Marge Simpson,"Oh Homie, if you feel so bad about yourself, there's always things you can do to feel better."
Homer Simpson,Take another bath in malt liquor?
Marge Simpson,"... There's that. Or, you could take an adult education course."
Homer Simpson,"Oh, and how is ""education"" supposed to make me feel smarter? Besides, every time I learn something new, it pushes some old stuff out of my brain. Remember when I took that home wine making course and I forgot how to drive?"
Marge Simpson,That's because you were drunk!
Homer Simpson,And how.
,
Patty Bouvier,"One way to drive your man wild is to wear tight, revealing clothes."
Class,Eww!
Patty Bouvier,"At this point, I'd like to remind you there are no refunds."
Moe Szyslak,"All right, here's the four one one, folks. Say some gangsta is dissin' your fly girl. You just give him one of these."
Lenny Leonard,See that ping sound means the spit was on target. Now you try.
Grampa Simpson,
Lenny Leonard,Gettin' better!
Homer Simpson,"Wait a minute, even Lenny is teaching a class. Look at the way they admire and adore him."
Homer Simpson,"That's it! If he can teach a class, he can teach a class. I mean, I can teach a class."
Administrator,What is your area of expertise?
Homer Simpson,"Well... I can tell the difference between butter and ""I Can't Believe It's Not Butter."""
Administrator,"No you can't, Mr. Simpson. No one can."
Homer Simpson,I've failed again. Everybody can teach a class but me. I'm an idiot. What am I gonna tell my wife and kids?
Administrator,"Oh, you're married?"
Homer Simpson,That depends. Is there another way to get this job?
Administrator,"No, Mr. Simpson, what I mean is, we may have a job for you after all. We need someone to teach a course on how to build a successful marriage."
,
,
Homer Simpson,"Look, everyone! Now that I'm a teacher, I've sewed patches on my elbows."
Marge Simpson,"Homer, that's supposed to be leather patches on a tweed blazer, not the other way around. You've ruined a perfectly good jacket."
Homer Simpson,"Incorrect, Marge. Two perfectly good jackets."
Lisa Simpson,"I think it's great you're a teacher, Dad. So, will you be lecturing from a standardized text or using the more Socratic method of interactive class participation?"
Homer Simpson,"Yes, Lisa. Daddy's a teacher."
,
Ned Flanders,"Well, Homer, what a pleasant..."
Homer Simpson,"Can't talk now, Flanders. I've got a class to teach."
Ned Flanders,But you rang my...
,
Squeaky-Voiced Teen,Can I take your order?
Homer Simpson,"Nothing for me, today! I've got a class to teach!"
SQUEAKY-VOICED TEENAGER,"Sir, it's a felony to tease the order box."
Homer Simpson,It's all right! I'm a teacher.
Miss Hoover,I didn't know we could do that!
,
Homer Simpson,"All right, the first thing they told me to do is make sure everyone here is in the right class."
Homer Simpson,"Down the hall, room twelve."
Man,Thank you.
Homer Simpson,"Ew. Okay, let's get started."
